Textbox_UWAGA2,Textbox_PARAMETRY
WSKAŹNIKI CEN TOWARÓW I USŁUG KONSUMPCYJNYCH - MIESIĘCZNIE,"Rok: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022
Miesiąc: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Jednostka terytorialna: Polska
Rodzaj informacji: okres poprzedni = 100"

Textbox28,Textbox76,Textbox78,Textbox82
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 IV,"103,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 V,"104,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 VI,"101,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 VII,"100,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 VIII,"97,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 IX,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 X,"100,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 XI,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2010 XII,"105,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 I,"102,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 II,"99,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 III,"105,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 IV,"103,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 V,"99,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 VI,"98,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 VII,"99,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 VIII,"102,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 IX,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 X,"102,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 XI,"105,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2011 XII,"102,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 I,"102,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 II,"100,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 III,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 IV,"100,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 V,"99,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 VI,"99,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 VII,"97,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 VIII,"101,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 IX,"101,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 X,"99,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 XI,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2012 XII,"98,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 I,"98,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 II,"100,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 III,"101,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 IV,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 V,"95,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 VI,"101,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 VII,"102,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 VIII,"100,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 IX,"101,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 X,"98,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 XI,"97,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2013 XII,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 I,"98,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 II,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 III,"100,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 IV,"98,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 V,"100,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 VI,"99,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 VII,"101,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 VIII,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 IX,"98,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 X,"99,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 XI,"96,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2014 XII,"95,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 I,"93,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 II,"99,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 III,"104,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 IV,"99,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 V,"101,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 VI,"101,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 VII,"98,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 VIII,"96,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 IX,"96,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 X,"99,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 XI,"100,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2015 XII,"97,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 I,"92,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 II,"95,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 III,"103,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 IV,"100,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 V,"104,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 VI,"104,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 VII,"98,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 VIII,"97,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 IX,"103,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 X,"102,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 XI,"99,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2016 XII,"105,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 I,"101,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 II,"100,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 III,"98,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 IV,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 V,"97,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 VI,"95,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 VII,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 VIII,"102,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 IX,"101,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 X,"101,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 XI,"103,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2017 XII,"99,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 I,"101,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 II,"98,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 III,"99,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 IV,"103,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 V,"106,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 VI,"101,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 VII,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 VIII,"99,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 IX,"100,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 X,"101,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 XI,"103,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2018 XII,"97,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 I,"97,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 II,"99,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 III,"101,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 IV,"101,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 V,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 VI,"99,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 VII,"98,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 VIII,"99,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 IX,"98,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 X,"99,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 XI,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2019 XII,"102,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 I,"102,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 II,"98,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 III,"94,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 IV,"87,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 V,"95,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 VI,"103,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 VII,"100,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 VIII,"103,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 IX,"101,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 X,"98,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 XI,"100,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2020 XII,"103,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 I,"103,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 II,"102,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 III,"106,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 IV,"103,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 V,"99,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 VI,"101,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 VII,"102,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 VIII,"100,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 IX,"103,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 X,"104,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 XI,"102,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2021 XII,"99,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2022 I,"96,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2022 II,"92,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2022 III,"135,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2022 IV,"99,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Olej napędowy,O G Ó Ł E M,2022 V,"102,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,

